filename,patchcore_score
Kalor_Canon_2014-11-26_22.12.54.jpg,36.58506393432617
Kalor_Canon_2014-11-26_22.12.54.jpg,36.58506393432617
Suki_Canon_2014-11-27_01.12.41.jpg,
Suki_Canon_2014-11-27_05.12.41.jpg,
Suki_Canon_2014-11-27_08.12.41.jpg,
Kalor_Canon_2014-11-27_11.13.04.jpg,41.33732604980469
Kalor_Canon_2014-11-27_11.13.04.jpg,41.33732604980469
Suki_Canon_2014-11-27_17.13.14.jpg,
Kalor_Canon_2014-11-27_17.13.04.jpg,40.55964279174805
Kalor_Canon_2014-11-27_17.13.04.jpg,40.55964279174805
Kalor_Canon_2014-11-27_22.12.53.jpg,41.0277214050293
Suki_Canon_2014-11-27_22.12.42.jpg,
Kalor_Canon_2014-11-27_22.12.53.jpg,41.0277214050293
Suki_Canon_2014-11-28_00.12.40.jpg,
Kalor_Canon_2014-11-28_00.12.52.jpg,33.29838943481445
Kalor_Canon_2014-11-28_00.12.52.jpg,33.29838943481445
Kalor_Canon_2014-11-28_01.12.31.jpg,32.07075119018555
Suki_Canon_2014-11-28_01.12.40.jpg,
Kalor_Canon_2014-11-28_01.12.31.jpg,32.07075119018555
Suki_Canon_2014-11-28_02.12.41.jpg,
Kalor_Canon_2014-11-28_02.12.31.jpg,34.706756591796875
Kalor_Canon_2014-11-28_02.12.31.jpg,34.706756591796875
Suki_Canon_2014-11-28_08.12.42.jpg,
Kalor_Canon_2014-11-28_11.13.03.jpg,40.29862976074219
Kalor_Canon_2014-11-28_11.13.03.jpg,40.29862976074219
Kalor_Canon_2014-11-28_17.13.04.jpg,37.36646270751953
Suki_Canon_2014-11-28_17.13.14.jpg,
Kalor_Canon_2014-11-28_17.13.04.jpg,37.36646270751953
Suki_Canon_2014-11-28_22.12.42.jpg,
Kalor_Canon_2014-11-28_22.12.54.jpg,40.84602355957031
Kalor_Canon_2014-11-28_22.12.54.jpg,40.84602355957031
Suki_Canon_2014-11-28_23.12.41.jpg,
Kalor_Canon_2014-11-28_23.12.53.jpg,46.6998176574707
Kalor_Canon_2014-11-28_23.12.53.jpg,46.6998176574707
Suki_Canon_2014-11-29_00.12.41.jpg,
Kalor_Canon_2014-11-29_00.12.53.jpg,38.16695785522461
Kalor_Canon_2014-11-29_00.12.53.jpg,38.16695785522461
Kalor_Canon_2014-11-29_01.12.31.jpg,46.8051872253418
Suki_Canon_2014-11-29_01.12.41.jpg,
Kalor_Canon_2014-11-29_01.12.31.jpg,46.8051872253418
Kalor_Canon_2014-11-29_02.12.32.jpg,38.249916076660156
Suki_Canon_2014-11-29_02.12.41.jpg,
Kalor_Canon_2014-11-29_02.12.32.jpg,38.249916076660156
Suki_Canon_2014-11-29_17.13.14.jpg,
Suki_Canon_2014-11-30_00.12.41.jpg,
Suki_Canon_2014-11-30_01.12.41.jpg,
Suki_Canon_2014-11-30_02.12.41.jpg,
Suki_Canon_2014-11-30_05.12.41.jpg,
Suki_Canon_2014-11-30_08.12.42.jpg,
Kalor_Canon_2014-11-30_11.13.04.jpg,36.96812438964844
Kalor_Canon_2014-11-30_11.13.04.jpg,36.96812438964844
Kalor_Canon_2014-11-30_17.13.05.jpg,33.371551513671875
Suki_Canon_2014-11-30_17.13.14.jpg,
Kalor_Canon_2014-11-30_17.13.05.jpg,33.371551513671875
Kalor_Canon_2014-11-30_22.12.54.jpg,37.25932693481445
Suki_Canon_2014-11-30_22.12.42.jpg,
Kalor_Canon_2014-11-30_22.12.54.jpg,37.25932693481445
Kalor_Canon_2014-12-01_01.12.31 2.jpg,
Suki_Canon_2014-12-01_01.12.41 2.jpg,
Kalor_Canon_2014-12-01_01.12.31.jpg,36.42289733886719
Suki_Canon_2014-12-01_01.12.41.jpg,
Kalor_Canon_2014-12-01_01.12.31.jpg,36.42289733886719
Suki_Canon_2014-12-01_02.12.41 2.jpg,
Kalor_Canon_2014-12-01_02.12.31.jpg,33.6258430480957
